"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","HSC0","HSC1","HSC2","HSC3","HSC4","HSC5","MY","SCC","CBC","DIA","NRes","MultiR"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,9000,110,5,0,1,FALSE
"5",2,2,0,0,0,0,1,0,0,0,1,0,0,2,2,2,2,0,1,2,0,0,1,0,0,0,7300,120,3,0,6,TRUE
"9",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,5,0,0,0,0,0,1,9600,100,NA,1,0,FALSE
"13",4,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1,5,0,0,0,0,0,1,7000,97,2,4,4,TRUE
"17",5,3,0,0,0,0,0,0,0,0,3,0,0,3,3,3,2,0,1,1,0,1,0,0,0,0,8500,150,7,0,5,TRUE
"21",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,1,0,0,0,7200,64,7,0,0,FALSE
"25",7,3,0,0,0,0,0,0,0,0,2,0,0,1,3,3,1,1,1,1,0,1,0,0,0,0,7000,128,1,4,5,TRUE
"29",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,8000,163,60,0,0,FALSE
"33",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,9000,363,1,0,0,FALSE
"37",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,0,1,0,0,0,0,0,8500,212,NA,0,0,FALSE
"41",11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,3,0,0,0,1,0,0,7200,87,NA,0,4,TRUE
"45",12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,0,0,1,0,0,0,7300,109,60,4,4,TRUE
"49",13,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,NA,5,0,0,0,0,0,1,7900,179,NA,2,6,TRUE
"53",14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,0,1,0,0,0,9000,177,30,0,2,FALSE
"57",15,2,0,0,0,0,2,0,0,0,0,0,0,2,2,2,1,1,0,2,0,0,1,0,0,0,7000,129,30,1,5,TRUE
"61",16,2,0,0,0,0,1,0,0,0,2,0,0,2,1,2,1,1,1,1,0,1,0,0,0,0,9500,348,60,1,6,TRUE
"65",17,3,0,0,0,0,0,0,0,0,1,0,0,3,2,3,2,1,1,1,0,1,0,0,0,0,6500,193,21,0,5,TRUE
"69",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10000,200,7,2,0,FALSE
"73",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,1,0,0,0,0,0,7500,97,NA,0,0,FALSE
"77",20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,8000,62,60,5,2,FALSE
"81",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8000,253,112,2,0,FALSE
"85",22,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,NA,3,0,0,0,1,0,0,8700,124,NA,1,3,TRUE
"89",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,1,0,0,0,0,0,7500,184,NA,0,0,FALSE
"93",24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,10000,75,2,0,2,FALSE
"97",25,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,NA,1,0,1,0,0,0,0,10000,80,NA,1,4,TRUE
"101",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,9000,167,30,3,0,FALSE
"105",27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,7700,123,1,3,2,FALSE
"109",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,1,0,0,0,0,7500,92,NA,0,0,FALSE
"113",29,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,1,1,1,0,1,0,0,0,0,8000,178,1,0,5,TRUE
"117",31,3,0,0,0,0,0,0,0,0,1,0,0,3,2,3,1,0,1,1,0,1,0,0,0,0,10500,132,1,1,5,TRUE
"121",32,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,2,1,NA,0,1,0,0,0,0,0,5000,140,NA,3,3,TRUE
"125",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8500,98,121,4,0,FALSE
"129",34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,NA,3,0,0,0,1,0,0,8500,119,NA,2,2,FALSE
"133",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,9000,75,1,4,0,FALSE
"137",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,1,0,0,0,0,0,9000,235,NA,4,0,FALSE
"141",37,2,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,0,1,2,0,0,1,0,0,0,9000,112,1,3,6,TRUE
"145",38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,NA,0,1,0,0,0,0,0,7500,43,NA,2,2,FALSE
"149",39,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,4,0,0,0,0,1,0,9500,NA,1,3,4,TRUE
"153",40,3,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,1,0,0,1,0,0,0,0,0,9000,88,7,2,4,TRUE
"157",41,3,0,1,0,0,0,0,0,0,2,0,1,3,2,3,2,0,1,2,0,0,1,0,0,0,8900,129,1,1,7,TRUE
"161",42,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,1,0,1,0,0,0,0,0,9500,148,2,0,4,TRUE
"165",43,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,8000,76,1,0,4,TRUE
"169",44,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,1,1,NA,1,0,1,0,0,0,0,8000,NA,NA,2,3,TRUE
"173",45,4,0,0,0,0,0,0,0,0,2,0,0,4,0,4,2,0,1,0,1,0,0,0,0,0,7200,217,1,3,4,TRUE
"177",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,7300,398,1,0,0,FALSE
"181",47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,NA,0,1,0,0,0,0,0,9000,93,NA,0,2,FALSE
"185",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,9000,NA,1,1,0,FALSE
"189",49,3,0,0,1,0,0,0,0,0,3,0,0,3,1,3,2,1,NA,0,1,0,0,0,0,0,9000,196,NA,3,6,TRUE
"193",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,11000,128,2,0,0,FALSE
"197",51,3,0,1,0,0,0,0,0,0,1,0,1,3,3,3,2,1,0,4,0,0,0,0,1,0,7200,122,7,3,7,TRUE
"201",52,4,0,0,0,0,0,0,0,3,4,0,3,4,4,4,2,1,0,0,1,0,0,0,0,0,9500,158,30,4,7,TRUE
"205",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,4,0,0,0,0,1,0,6800,76,NA,1,0,FALSE
"209",54,2,0,0,0,0,0,0,0,0,3,0,0,3,0,3,2,1,1,0,1,0,0,0,0,0,7000,152,1,2,4,TRUE
"213",55,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,5,0,0,0,0,0,1,7066,293,2,1,2,FALSE
"217",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,7000,64,14,0,0,FALSE
"221",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,1,0,1,0,0,0,0,8500,162,NA,3,0,FALSE
"225",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,0,1,0,0,0,0,0,8000,NA,NA,1,0,FALSE
"229",59,2,0,0,0,0,0,0,0,0,1,0,0,2,3,3,2,1,0,4,0,0,0,0,1,0,10000,71,4,1,5,TRUE
"233",60,4,0,0,0,0,0,0,0,0,4,0,0,4,0,4,1,1,NA,5,0,0,0,0,0,1,8500,60,NA,3,4,TRUE
