"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","MY","SCC","CBC","DIA"
"1","1","4","<=0.03","0.06","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8",">32","<=0.25","<=8","1","0","1","0","9000","110","5","0"
"2","1","2","<=0.03","0.03","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","1","0","9000","110","5","0"
"3","1","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","1","0","9000","110","5","0"
"4","1","4","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","1","0","9000","110","5","0"
"5","2","2","<=0.03","0.03","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8","<=2","<=0.25","<=8","2","0","1","2","7300","120","3","0"
"6","2","2","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","0","1","2","7300","120","3","0"
"7","2",">32","<=0.03","0.03","8","<=4",">16","<=0.25","<=0.25","<=0.25",">64","<=1","8",">32",">16",">512","2","0","1","2","7300","120","3","0"
"8","2",">32","<=0.03","0.03","8","<=4","16","<=0.25","<=0.25","<=0.25","64","<=1","8",">32",">16",">512","2","0","1","2","7300","120","3","0"
"9","3","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8","<=2","<=0.25","<=8","2","1","NA","5","9600","100","NA","1"
"10","3","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","5","9600","100","NA","1"
"11","3","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","5","9600","100","NA","1"
"12","3","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","5","9600","100","NA","1"
"13","4",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","5","7000","97","2","4"
"14","4","4","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","4","0.5","16","2","1","1","5","7000","97","2","4"
"15","4",">32","0.06","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","5","7000","97","2","4"
"16","4",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8",">32",">16",">512","2","1","1","5","7000","97","2","4"
"17","5",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25",">64","<=1","<=4",">32",">16",">512","2","0","1","1","8500","150","7","0"
"18","5","4","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","<=8","2","0","1","1","8500","150","7","0"
"19","5",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25",">64","<=1","<=4",">32",">16",">512","2","0","1","1","8500","150","7","0"
"20","5",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25",">64","<=1","<=4",">32",">16",">512","2","0","1","1","8500","150","7","0"
"21","6","2","<=0.03","<=0.015","<=2","<=4","2","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","1","2","7200","64","7","0"
"22","6","2","<=0.03","<=0.015","<=2","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","1","2","7200","64","7","0"
"23","6","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","1","1","2","7200","64","7","0"
"24","6","2","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","1","1","2","7200","64","7","0"
"25","7",">32","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","0.5",">64","<=1","<=4",">32",">16",">512","1","1","1","1","7000","128","1","4"
"26","7","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","<=0.25","<=8","1","1","1","1","7000","128","1","4"
"27","7",">32","<=0.03","<=0.015","8","<=4","8","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4",">16",">512","1","1","1","1","7000","128","1","4"
"28","7",">32","<=0.03","0.25","8","<=4","8","<=0.25","<=0.25","<=0.25",">64","<=1","64","4",">16",">512","1","1","1","1","7000","128","1","4"
"29","8","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","<=0.25","<=8","2","1","1","1","8000","163","60","0"
"30","8","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","1","1","1","8000","163","60","0"
"31","8","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","1","1","8000","163","60","0"
"32","8","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","2","1","1","1","8000","163","60","0"
"33","9","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","1","0","1","9000","363","1","0"
"34","9","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","0","1","9000","363","1","0"
"35","9","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","1","0","1","9000","363","1","0"
"36","9","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","1","0","1","9000","363","1","0"
"37","10","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","NA","0","8500","212","NA","0"
"38","10","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","NA","0","8500","212","NA","0"
"39","10","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","NA","0","8500","212","NA","0"
"40","10","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","2","0","NA","0","8500","212","NA","0"
"41","11","4","<=0.03","0.03","8","<=4","<=0.5","0.5","0.5","<=0.25","16","<=1","<=4",">32","0.5","16","1","1","NA","3","7200","87","NA","0"
"42","11","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","NA","3","7200","87","NA","0"
"43","11","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","NA","3","7200","87","NA","0"
"44","11",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2",">16",">512","1","1","NA","3","7200","87","NA","0"
"45","12","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","1","1","2","7300","109","60","4"
"46","12","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","0.5","<=0.25","<=8","<=1","<=4","4","0.5","16","2","1","1","2","7300","109","60","4"
"47","12","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","<=2","0.5","16","2","1","1","2","7300","109","60","4"
"48","12",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","2","7300","109","60","4"
"49","13","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","16","1","1","NA","5","7900","179","NA","2"
"50","13","<=1","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","NA","5","7900","179","NA","2"
"51","13","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","<=0.25","<=8","1","1","NA","5","7900","179","NA","2"
"52","13",">32","<=0.03","0.25","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1",">64",">32",">16",">512","1","1","NA","5","7900","179","NA","2"
"53","14","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","2","9000","177","30","0"
"54","14","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","2","9000","177","30","0"
"55","14","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","1","1","2","9000","177","30","0"
"56","14","2","<=0.03","<=0.015","4","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","1","1","2","9000","177","30","0"
"57","15",">32","<=0.03","<=0.015","4","<=4",">16","<=0.25","0.5","<=0.25","<=8","<=1","<=4",">32",">16",">512","1","1","0","2","7000","129","30","1"
"58","15","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","<=2","<=0.25","<=8","1","1","0","2","7000","129","30","1"
"59","15","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","1","0","2","7000","129","30","1"
"60","15",">32","<=0.03","<=0.015","4","<=4",">16","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","1","1","0","2","7000","129","30","1"
"61","16","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","4","0.5","16","1","1","1","1","9500","348","60","1"
"62","16",">32","<=0.03","<=0.015","8","<=4","8","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32",">16",">512","1","1","1","1","9500","348","60","1"
"63","16",">32","<=0.03","<=0.015","<=2","<=4",">16","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","<=0.25",">512","1","1","1","1","9500","348","60","1"
"64","16","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","1","1","1","9500","348","60","1"
"65","17",">32","<=0.03","<=0.015","4","<=4","1","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","1","1","1","6500","193","21","0"
"66","17",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","1","6500","193","21","0"
"67","17",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","1","6500","193","21","0"
"68","17","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","1","1","6500","193","21","0"
"69","18","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","16","1","0","1","0","10000","200","7","2"
"70","18","4","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","1","0","10000","200","7","2"
"71","18","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","0","1","0","10000","200","7","2"
"72","18","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","0","1","0","10000","200","7","2"
"73","19","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","NA","0","7500","97","NA","0"
"74","19","8","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","1","NA","0","7500","97","NA","0"
"75","19","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","1","NA","0","7500","97","NA","0"
"76","19","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","1","NA","0","7500","97","NA","0"
"77","20","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","<=0.25","16","1","0","1","2","8000","62","60","5"
"78","20","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","<=0.25","16","1","0","1","2","8000","62","60","5"
"79","20","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","1","2","8000","62","60","5"
"80","20","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","1","2","8000","62","60","5"
"81","21","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","32","1","0","0","0","8000","253","112","2"
"82","21","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","32","1","0","0","0","8000","253","112","2"
"83","21","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","0","0","8000","253","112","2"
"84","21","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","32","1","0","0","0","8000","253","112","2"
"85","22","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","NA","3","8700","124","NA","1"
"86","22","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","16","1","0","NA","3","8700","124","NA","1"
"87","22","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","NA","3","8700","124","NA","1"
"88","22",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","NA","3","8700","124","NA","1"
"89","23","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","32","1","0","NA","0","7500","184","NA","0"
"90","23","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","32","1","0","NA","0","7500","184","NA","0"
"91","23","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","16","1","0","NA","0","7500","184","NA","0"
"92","23","4","<=0.03","0.03","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","NA","0","7500","184","NA","0"
"93","24","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","0","0","10000","75","2","0"
"94","24","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","0","0","10000","75","2","0"
"95","24","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","0","0","10000","75","2","0"
"96","24","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","0","0","10000","75","2","0"
"97","25","2","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","NA","1","10000","80","NA","1"
"98","25","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","NA","1","10000","80","NA","1"
"99","25",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","1","0","NA","1","10000","80","NA","1"
"100","25",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","1","0","NA","1","10000","80","NA","1"
"101","26","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","0","9000","167","30","3"
"102","26","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","1","1","0","9000","167","30","3"
"103","26","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","0","9000","167","30","3"
"104","26","2","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","0","9000","167","30","3"
"105","27",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","0","0","7700","123","1","3"
"106","27",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","0","0","7700","123","1","3"
"107","27","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25",">512","1","1","0","0","7700","123","1","3"
"108","27","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5",">512","1","1","0","0","7700","123","1","3"
"109","28","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","NA","1","7500","92","NA","0"
"110","28","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","NA","1","7500","92","NA","0"
"111","28","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","NA","1","7500","92","NA","0"
"112","28","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","NA","1","7500","92","NA","0"
"113","29",">32","<=0.03","0.03","8","<=4",">16","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","1","1","1","8000","178","1","0"
"114","29","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","16","<=1","<=4","4","1","32","2","1","1","1","8000","178","1","0"
"115","29","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","16","2","1","1","1","8000","178","1","0"
"116","29","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","1","1","1","8000","178","1","0"
"121","31",">32","<=0.03","0.25","<=2","<=4","16","<=0.25","<=0.25","<=0.25",">64","<=1","64",">32",">16",">512","1","0","1","1","10500","132","1","1"
